date,season,competition,team,opponent,is_home,goals_scored,goals_conceded,result,points,avg_scored_last5,avg_conceded_last5,avg_pts_last5,win_rate_last5
2014-06-15,2014,World Cup,Argentina,Bosnia-Herzegovina,1,2,1,W,3,,,,0.0
2014-06-21,2014,World Cup,Argentina,Iran,1,1,0,W,3,2.0,1.0,3.0,0.5
2014-06-25,2014,World Cup,Argentina,Nigeria,0,3,2,W,3,1.5,0.5,3.0,0.67
2018-06-16,2018,World Cup,Argentina,Iceland,1,1,1,D,1,2.0,1.0,3.0,0.75
2018-06-21,2018,World Cup,Argentina,Croatia,1,0,3,L,0,1.75,1.0,2.5,0.6
2018-06-26,2018,World Cup,Argentina,Nigeria,0,2,1,W,3,1.4,1.4,2.0,0.6
2022-11-22,2022,World Cup,Argentina,Saudi Arabia,1,1,2,L,0,1.4,1.4,2.0,0.6
2022-11-26,2022,World Cup,Argentina,Mexico,1,2,0,W,3,1.4,1.8,1.4,0.4
2022-11-30,2022,World Cup,Argentina,Poland,0,2,0,W,3,1.2,1.4,1.4,0.4
2026-06-27,2026,World Cup,Argentina,Algeria,1,3,0,W,3,1.4,1.2,1.8,0.6
2026-06-27,2026,World Cup,Argentina,Austria,1,2,0,W,3,2.0,0.6,2.4,0.8
2026-06-27,2026,World Cup,Argentina,Jordan,0,3,1,W,3,2.0,0.4,2.4,0.8
