date,season,home,away,home_goals,away_goals,xg_home,xg_away,p_home_win,p_draw,p_away_win,outcome
2014-06-24,2014,Costa Rica,England,0,0,2.674,0.559,0.7659,0.1245,0.0549,draw
2014-06-24,2014,Italy,Uruguay,0,1,1.337,1.228,0.3904,0.2655,0.3398,lose
2014-06-25,2014,Honduras,Switzerland,0,3,0.928,3.193,0.0736,0.1141,0.7074,lose
2014-06-25,2014,Nigeria,Argentina,2,3,0.28,0.45,0.1651,0.5447,0.2902,lose
2014-06-25,2014,Bosnia-Herzegovina,Iran,3,1,0.28,0.01,0.2418,0.7506,0.0075,win
2014-06-25,2014,Ecuador,France,0,0,1.228,4.311,0.0525,0.075,0.6061,draw
2014-06-26,2014,Algeria,Russia,1,1,2.046,0.669,0.6783,0.1929,0.1104,draw
2014-06-26,2014,South Korea,Belgium,0,1,0.839,2.394,0.1128,0.1685,0.6832,lose
2014-06-26,2014,USA,Germany,0,1,1.637,3.233,0.1585,0.1463,0.58,lose
2014-06-26,2014,Portugal,Ghana,2,1,1.337,2.783,0.1584,0.1623,0.6132,win
2018-06-15,2018,Portugal,Spain,3,3,2.704,0.503,0.7787,0.1173,0.0469,draw
2018-06-16,2018,Croatia,Nigeria,2,0,1.091,1.683,0.2454,0.2417,0.5044,win
2018-06-16,2018,France,Australia,2,1,4.026,1.077,0.6496,0.0791,0.0516,win
2018-06-17,2018,Germany,Mexico,0,1,1.91,0.431,0.7187,0.1934,0.0744,lose
2018-06-17,2018,Brazil,Switzerland,1,1,1.782,2.716,0.2352,0.1779,0.5195,draw
2018-06-19,2018,Colombia,Japan,1,2,2.674,0.669,0.7432,0.133,0.069,lose
2018-06-20,2018,Iran,Spain,0,1,0.993,0.819,0.3839,0.3258,0.2895,lose
2018-06-21,2018,Argentina,Croatia,0,3,2.34,1.228,0.5896,0.1898,0.1868,lose
2018-06-22,2018,Brazil,Costa Rica,2,0,0.699,1.078,0.2353,0.3227,0.441,win
2018-06-23,2018,South Korea,Mexico,1,2,0.517,0.906,0.2007,0.3679,0.431,lose
2018-06-25,2018,Iran,Portugal,1,1,0.535,1.31,0.1517,0.2898,0.5562,draw
2018-06-25,2018,Spain,Morocco,2,2,0.819,0.01,0.5551,0.4403,0.0044,draw
2018-06-25,2018,Uruguay,Russia,3,0,0.858,1.43,0.2253,0.2698,0.501,win
2018-06-25,2018,Saudi Arabia,Egypt,2,1,0.01,0.928,0.004,0.3951,0.6005,win
2018-06-26,2018,Australia,Peru,0,2,1.146,0.01,0.6772,0.3184,0.0032,lose
