date,season,competition,team,opponent,is_home,goals_scored,goals_conceded,result,points,avg_scored_last5,avg_conceded_last5,avg_pts_last5,win_rate_last5
2014-06-17,2014,World Cup,Belgium,Algeria,1,2,1,W,3,,,,0.0
2014-06-22,2014,World Cup,Belgium,Russia,1,1,0,W,3,2.0,1.0,3.0,0.5
2014-06-26,2014,World Cup,Belgium,South Korea,0,1,0,W,3,1.5,0.5,3.0,0.67
2018-06-18,2018,World Cup,Belgium,Panama,1,3,0,W,3,1.33,0.33,3.0,0.75
2018-06-23,2018,World Cup,Belgium,Tunisia,1,5,2,W,3,1.75,0.25,3.0,0.8
2018-06-28,2018,World Cup,Belgium,England,0,1,0,W,3,2.4,0.6,3.0,1.0
2022-11-23,2022,World Cup,Belgium,Canada,1,1,0,W,3,2.2,0.4,3.0,1.0
2022-11-27,2022,World Cup,Belgium,Morocco,1,0,2,L,0,2.2,0.4,3.0,1.0
2022-12-01,2022,World Cup,Belgium,Croatia,0,0,0,D,1,2.0,0.8,2.4,0.8
2026-06-27,2026,World Cup,Belgium,Egypt,1,1,1,D,1,1.4,0.8,2.0,0.6
2026-06-27,2026,World Cup,Belgium,Iran,1,0,0,D,1,0.6,0.6,1.6,0.4
2026-06-27,2026,World Cup,Belgium,New Zealand,0,5,1,W,3,0.4,0.6,1.2,0.2
