date,season,competition,team,opponent,is_home,goals_scored,goals_conceded,result,points,avg_scored_last5,avg_conceded_last5,avg_pts_last5,win_rate_last5
2014-06-15,2014,World Cup,France,Honduras,1,3,0,W,3,,,,0.0
2014-06-20,2014,World Cup,France,Switzerland,0,5,2,W,3,3.0,0.0,3.0,0.5
2014-06-25,2014,World Cup,France,Ecuador,0,0,0,D,1,4.0,1.0,3.0,0.67
2018-06-16,2018,World Cup,France,Australia,1,2,1,W,3,2.67,0.67,2.33,0.5
2018-06-21,2018,World Cup,France,Peru,1,1,0,W,3,2.5,0.75,2.5,0.6
2018-06-26,2018,World Cup,France,Denmark,0,0,0,D,1,2.2,0.6,2.6,0.8
2022-11-22,2022,World Cup,France,Australia,1,4,1,W,3,1.6,0.6,2.2,0.6
2022-11-26,2022,World Cup,France,Denmark,1,2,1,W,3,1.4,0.4,2.2,0.6
2026-06-27,2026,World Cup,France,Senegal,1,3,1,W,3,1.8,0.6,2.6,0.8
2026-06-27,2026,World Cup,France,Iraq,1,3,0,W,3,2.0,0.6,2.6,0.8
2026-06-27,2026,World Cup,France,Norway,0,4,1,W,3,2.4,0.6,2.6,0.8
